,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
32,0.3249695301055908,0.08114436899331812,0.0,0.0,0.31622776601683794,"(12, 12, 12)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (12, 12, 12)}",0.7551020408163265,0.6938775510204082,0.7099125364431487,0.710948905109489,0.691970802919708,0.7123687281213535,0.0227731697976351,36,0.7239241429613421,0.7093362509117432,0.712618526622903,0.7240247903755013,0.7342325920524972,0.7208272605847974,0.008932462208583677
33,0.1187441349029541,0.06747001337688117,0.006245040893554687,0.00764859727027299,0.31622776601683794,"(18,)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (18,)}",0.6661807580174927,0.7142857142857143,0.6924198250728864,0.6656934306569343,0.7021897810218978,0.6881563593932322,0.0194187756199952,68,0.6779722830051058,0.7334062727935813,0.7075127644055434,0.6587677725118484,0.6882974845060154,0.6931913154444189,0.025545627933617567
34,0.2062610149383545,0.062038306209580805,0.003124856948852539,0.006249713897705078,0.31622776601683794,"(18, 18)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (18, 18)}",0.7580174927113703,0.7157434402332361,0.706997084548105,0.710948905109489,0.7065693430656934,0.719661610268378,0.01946781497253086,16,0.7363238512035011,0.7210065645514223,0.7370532458059811,0.7229310973386803,0.7375136711629603,0.730965686012509,0.007380828455097451
35,0.3406368732452393,0.0768084662266341,0.0,0.0,0.31622776601683794,"(18, 18, 18)","{'NN__alpha': 0.31622776601683794, 'NN__hidden_layer_sizes': (18, 18, 18)}",0.7565597667638484,0.7303206997084548,0.6924198250728864,0.743065693430657,0.6978102189781021,0.7240373395565928,0.02508824717909359,10,0.7301239970824216,0.7388767323121809,0.7567469000729394,0.7557418884433103,0.7506379876048123,0.7464255011031329,0.010332418263789838
36,0.12500481605529784,0.08613494683019228,0.0,0.0,0.1,"(6,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,)}",0.7551020408163265,0.7011661807580175,0.619533527696793,0.6642335766423357,0.672992700729927,0.6826137689614936,0.044751460662930176,87,0.725382932166302,0.7173595915390226,0.6513493800145879,0.6635071090047393,0.6591323368574553,0.6833462699164213,0.031393294966176495
37,0.0562443733215332,0.007650001336807238,0.0,0.0,0.1,"(6, 6)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6, 6)}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,98,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
38,0.21875619888305664,0.0784332116740582,0.0031284809112548826,0.006256961822509765,0.1,"(6, 6, 6)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6, 6, 6)}",0.6749271137026239,0.673469387755102,0.6822157434402333,0.6671532846715329,0.6934306569343066,0.6782380396732789,0.00897698365622601,90,0.6666666666666666,0.6856309263311452,0.7053245805981035,0.6912139992708713,0.7211082756106453,0.6939888896954864,0.018373994777183617
39,0.13437342643737793,0.01592057048581305,0.0,0.0,0.1,"(12,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (12,)}",0.7201166180758017,0.6997084548104956,0.7055393586005831,0.6715328467153284,0.6642335766423357,0.6922403733955659,0.02108283652998269,58,0.7060539752005836,0.6918307804522247,0.7078774617067833,0.6780896828290193,0.6908494349252643,0.6949402670227751,0.010965687551692593
40,0.2062650203704834,0.04122991367267747,0.0,0.0,0.1,"(12, 12)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (12, 12)}",0.7040816326530612,0.717201166180758,0.7084548104956269,0.7386861313868613,0.6978102189781021,0.7132438739789965,0.014193975293029498,35,0.7020423048869439,0.7257476294675419,0.7286652078774617,0.7356908494349252,0.7061611374407583,0.7196614258215261,0.01317378910094352
41,0.31249227523803713,0.11524574209508252,0.0,0.0,0.1,"(12, 12, 12)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (12, 12, 12)}",0.6924198250728864,0.6953352769679301,0.7040816326530612,0.7226277372262774,0.6963503649635037,0.7021586931155193,0.010931689350613151,43,0.6929248723559446,0.7020423048869439,0.7180889861415025,0.7386073641997812,0.7400656215822092,0.7183458298332763,0.018943996948500977
42,0.14999675750732422,0.07031080110044842,0.0,0.0,0.1,"(18,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (18,)}",0.6690962099125365,0.7157434402332361,0.7040816326530612,0.6671532846715329,0.7036496350364964,0.691948658109685,0.01993700860629995,61,0.6739606126914661,0.7352297592997812,0.7293946024799417,0.6584032081662413,0.6882974845060154,0.6970571334286891,0.030355124536537343
