,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,0.34141831398010253,0.010933490994066554,0.10374507904052735,0.006927447839128799,10.0,"(6, 6)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 10}",0.6472303206997084,0.673469387755102,0.6559766763848397,0.6437956204379562,0.6671532846715329,0.6575262543757293,0.011346950353905264,1232,0.6586433260393874,0.6663019693654267,0.6546316557257477,0.6547575647101713,0.6543930003645644,0.6577455032410594,0.004558120157795959
21,0.31701130867004396,0.00222419152339854,0.11300506591796874,0.018111333212628405,10.0,"(6, 6)",11,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'filter__n': 11}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,1090,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
22,0.3814686298370361,0.005908080987709091,0.10328502655029297,0.005977922238014372,10.0,"(6, 6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 1}",0.6705539358600583,0.6661807580174927,0.6516034985422741,0.6627737226277373,0.6525547445255474,0.6607351225204201,0.007491129043482262,1218,0.6663019693654267,0.6659372720641867,0.6666666666666666,0.6624134159679184,0.6602260298942764,0.6643090707916949,0.0025473779695800833
23,0.3331616401672363,0.010227276934702757,0.11295228004455567,0.0063402808863079994,10.0,"(6, 6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 2}",0.6632653061224489,0.6661807580174927,0.6661807580174927,0.6642335766423357,0.6656934306569343,0.6651108518086347,0.0011667732984753576,1090,0.6608315098468271,0.6655725747629467,0.6655725747629467,0.6656944950783813,0.6656944950783813,0.6646731299058966,0.0019215837432244292
24,0.32833662033081057,0.010264089787412998,0.1034116268157959,0.006275709976010137,10.0,"(6, 6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 3}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,1090,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
25,0.33714632987976073,0.010587704554689652,0.11370301246643066,0.011994869486716797,10.0,"(6, 6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 4}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,1090,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
26,0.3877749443054199,0.021429104951374706,0.1137455940246582,0.0072768384078418175,10.0,"(6, 6, 6)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 5}",0.6661807580174927,0.6720116618075802,0.6690962099125365,0.6671532846715329,0.6744525547445256,0.6697782963827305,0.003069866589859431,974,0.6714077315827863,0.6688548504741065,0.6710430342815463,0.6744440393729493,0.6678818811520233,0.6707263073726824,0.0022794428074739176
27,0.3702134132385254,0.018247002886973628,0.10710101127624512,0.01036262411648187,10.0,"(6, 6, 6)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 6}",0.6763848396501457,0.6720116618075802,0.6705539358600583,0.6613138686131387,0.6759124087591241,0.6712368728121354,0.005437015596034652,945,0.6735959153902261,0.675054704595186,0.6757840991976659,0.6788188115202333,0.6733503463361283,0.6753207754078879,0.001968728120497183
28,0.3365200042724609,0.006034652223141199,0.10717134475708008,0.008482786954369092,10.0,"(6, 6, 6)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 7}",0.33527696793002915,0.33527696793002915,0.33527696793002915,0.3343065693430657,0.3343065693430657,0.3348891481913652,0.0004753268104143264,1272,0.3347921225382932,0.3347921225382932,0.3347921225382932,0.33503463361283264,0.33503463361283264,0.334889126968109,0.00011880567791913259
29,0.41767177581787107,0.030516117070881955,0.1071852207183838,0.008649263808715585,10.0,"(6, 6, 6)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 8}",0.6836734693877551,0.6793002915451894,0.6355685131195336,0.6452554744525547,0.6656934306569343,0.661901983663944,0.018773568440128646,1207,0.6677607585703865,0.6633843909555069,0.6429613420860686,0.6529347429821364,0.6715275246080933,0.6597137518404383,0.010434474874280236
