,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
785,0.25313630104064944,0.12118997979164625,0.003118276596069336,0.006236553192138672,0.0031622776601683794,"(18, 18, 18)",5,"{'NN__alpha': 0.0031622776601683794, 'NN__hidden_layer_sizes': (18, 18, 18), 'pca__n_components': 5}",0.6647230320699709,0.7026239067055393,0.6938775510204082,0.6802919708029197,0.7167883211678832,0.691656942823804,0.017951157268277115,308,0.6652078774617067,0.7297592997811816,0.7436177972283005,0.6813707619394823,0.7145461173897193,0.7069003707600781,0.029391095277084237
786,0.2624952793121338,0.030309022926074018,0.0,0.0,0.0031622776601683794,"(18, 18, 18)",6,"{'NN__alpha': 0.0031622776601683794, 'NN__hidden_layer_sizes': (18, 18, 18), 'pca__n_components': 6}",0.7084548104956269,0.6880466472303207,0.6807580174927114,0.7299270072992701,0.67007299270073,0.6954492415402567,0.021312429949585245,275,0.6921954777534646,0.7060539752005836,0.7144420131291028,0.7360554137805323,0.7214728399562523,0.7140439439639872,0.014704059540149446
787,0.20000476837158204,0.12862055734103728,0.0031258583068847655,0.00625171661376953,0.0031622776601683794,"(18, 18, 18)",7,"{'NN__alpha': 0.0031622776601683794, 'NN__hidden_layer_sizes': (18, 18, 18), 'pca__n_components': 7}",0.6647230320699709,0.6749271137026239,0.6895043731778425,0.6642335766423357,0.7036496350364964,0.6794049008168028,0.015199108695976234,515,0.6652078774617067,0.6648431801604668,0.7283005105762217,0.6646008020415604,0.7389719285453883,0.6923848597570688,0.03385077634818421
788,0.1812488079071045,0.06138494470831879,0.006247854232788086,0.007652029408144608,0.0031622776601683794,"(18, 18, 18)",8,"{'NN__alpha': 0.0031622776601683794, 'NN__hidden_layer_sizes': (18, 18, 18), 'pca__n_components': 8}",0.6486880466472303,0.6909620991253644,0.6559766763848397,0.710948905109489,0.7094890510948905,0.6831971995332555,0.026280921278954046,460,0.6608315098468271,0.6885485047410649,0.6973012399708242,0.7222019686474663,0.7506379876048123,0.703904242162199,0.03050740348316267
789,0.22500166893005372,0.08816149053329457,0.0,0.0,0.0031622776601683794,"(18, 18, 18)",9,"{'NN__alpha': 0.0031622776601683794, 'NN__hidden_layer_sizes': (18, 18, 18), 'pca__n_components': 9}",0.6953352769679301,0.7055393586005831,0.7011661807580175,0.7284671532846715,0.7021897810218978,0.706534422403734,0.011443799049171382,145,0.6845368344274252,0.7301239970824216,0.7348650619985412,0.7418884433102443,0.7294932555596063,0.7241815184756477,0.02031207456380597
790,0.125,1.4219025008914006e-05,0.0,0.0,0.0031622776601683794,"(18, 18, 18)",10,"{'NN__alpha': 0.0031622776601683794, 'NN__hidden_layer_sizes': (18, 18, 18), 'pca__n_components': 10}",0.7026239067055393,0.6559766763848397,0.6720116618075802,0.6846715328467153,0.67007299270073,0.677071178529755,0.015689618989232525,566,0.6790663749088257,0.6787016776075857,0.6648431801604668,0.6810061975938754,0.6810061975938754,0.6769247255729258,0.0061159592490522535
791,0.3124990940093994,0.06630500064136013,0.003123617172241211,0.006247234344482422,0.0031622776601683794,"(18, 18, 18)",11,"{'NN__alpha': 0.0031622776601683794, 'NN__hidden_layer_sizes': (18, 18, 18), 'pca__n_components': 11}",0.7565597667638484,0.7288629737609329,0.7157434402332361,0.7386861313868613,0.7284671532846715,0.7336639439906651,0.013572784687038559,1,0.7319474835886215,0.7355944566010212,0.7527352297592997,0.7520962449872403,0.7626686110098433,0.7470084051892052,0.011498123861260945
792,0.06874446868896485,0.012495085077341579,0.0031312942504882813,0.006262588500976563,0.001,"(6,)",1,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 1}",0.6778425655976676,0.6486880466472303,0.6647230320699709,0.6408759124087591,0.6583941605839416,0.6581096849474912,0.012798582300317145,1154,0.6641137855579868,0.6721371261852662,0.6666666666666666,0.6529347429821364,0.6460080204156033,0.6603720683615318,0.009525530779846325
793,0.131257963180542,0.021193701329324403,0.0,0.0,0.001,"(6,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 2}",0.6967930029154519,0.6690962099125365,0.6778425655976676,0.6802919708029197,0.6715328467153284,0.6791131855309218,0.009732128604905953,521,0.6772428884026258,0.6914660831509847,0.6918307804522247,0.6791833758658403,0.6788188115202333,0.6837083878783818,0.0065167702309195125
794,0.20937786102294922,0.030623981723871506,0.0,0.0,0.001,"(6,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 3}",0.6107871720116618,0.607871720116618,0.60932944606414,0.6175182481751825,0.602919708029197,0.6096849474912486,0.004725824487642338,1245,0.6061269146608315,0.6094091903719913,0.6083150984682714,0.6168428727670434,0.6106452788917244,0.6102678710319723,0.0036075270570808285
795,0.09687447547912598,0.100015283563621,0.0,0.0,0.001,"(6,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 4}",0.33527696793002915,0.3323615160349854,0.33527696793002915,0.6817518248175183,0.33284671532846716,0.40344224037339554,0.13908389817949815,1262,0.3336980306345733,0.33698030634573306,0.33406272793581326,0.6824644549763034,0.33649289099526064,0.4047396821775367,0.13886839457612943
796,0.07188200950622559,0.021187220137808153,0.0,0.0,0.001,"(6,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 5}",0.6647230320699709,0.6647230320699709,0.6603498542274052,0.6642335766423357,0.6671532846715329,0.6642357059509918,0.0021949361986719268,1040,0.6633843909555069,0.6633843909555069,0.6681254558716265,0.6646008020415604,0.6715275246080933,0.6662045128864588,0.0031781296268667005
797,0.12187633514404297,0.047795170367754526,0.0,0.0,0.001,"(6,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 6}",0.6661807580174927,0.6632653061224489,0.6705539358600583,0.6583941605839416,0.6598540145985401,0.6636522753792299,0.004387373467214688,1062,0.6717724288840262,0.6593727206418672,0.6892778993435449,0.6635071090047393,0.6646008020415604,0.6697061919831476,0.010569724027821123
798,0.16876416206359862,0.04351889613083763,0.0031235218048095703,0.006247043609619141,0.001,"(6,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 7}",0.6618075801749271,0.6924198250728864,0.6749271137026239,0.6423357664233577,0.6773722627737226,0.6697782963827305,0.016811212467027124,819,0.6677607585703865,0.7016776075857039,0.6962071480671043,0.6584032081662413,0.7010572366022603,0.6850211917983392,0.01825462212885768
799,0.10310864448547363,0.01873545250117264,0.0,0.0,0.001,"(6,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 8}",0.6690962099125365,0.673469387755102,0.6516034985422741,0.6554744525547446,0.6978102189781021,0.6694865810968494,0.016332238205437215,826,0.6663019693654267,0.6805251641137856,0.6666666666666666,0.6744440393729493,0.7079839591687933,0.6791843597375242,0.015338408929553718
800,0.11250653266906738,0.022951181353404477,0.0,0.0,0.001,"(6,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 9}",0.7186588921282799,0.6895043731778425,0.6690962099125365,0.6715328467153284,0.6832116788321168,0.6864060676779463,0.017784695563664823,383,0.6892778993435449,0.6998541210795041,0.6849015317286652,0.6773605541378053,0.7090776522056143,0.6920943516990267,0.011183920336867891
801,0.15936694145202637,0.05709710697715664,0.0031253814697265623,0.006250762939453125,0.001,"(6,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 10}",0.717201166180758,0.7040816326530612,0.6705539358600583,0.6744525547445256,0.7124087591240876,0.6957409568261377,0.01947072078692809,268,0.7027716994894238,0.6932895696571846,0.7013129102844639,0.6941305140357273,0.7116296026248633,0.7006268592183325,0.00666587859414615
802,0.07813286781311035,0.017135490483229293,0.0,0.0,0.001,"(6,)",11,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (6,), 'pca__n_components': 11}",0.6822157434402333,0.6938775510204082,0.6282798833819242,0.6905109489051094,0.6817518248175183,0.6753208868144691,0.023992171028071156,624,0.674325309992706,0.6914660831509847,0.6291028446389497,0.6773605541378053,0.6824644549763034,0.6709438493793498,0.021712505547823058
