,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
62,0.03296947479248047,0.011781600248072233,0.0,0.0,10.0,"(18,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18,), 'ica__n_components': 9}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,746,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
63,0.01669178009033203,0.006420281355295208,0.00020017623901367188,0.00040035247802734376,10.0,"(18, 18)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18), 'ica__n_components': 1}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,195,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
64,0.015629911422729494,0.001859260084641746,0.0,0.0,10.0,"(18, 18)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18), 'ica__n_components': 2}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,195,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
65,0.020922279357910155,0.006695898287213053,0.00010004043579101563,0.00020008087158203126,10.0,"(18, 18)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18), 'ica__n_components': 3}",0.8846153846153846,0.9871794871794872,0.6410256410256411,0.948051948051948,0.6578947368421053,0.8242894056847545,0.1460661838859347,39,0.941747572815534,0.9449838187702265,0.6407766990291263,0.9612903225806452,0.6237942122186495,0.8225185250828364,0.15555858679136791
66,0.019798088073730468,0.008283477646356606,0.00010004043579101563,0.00020008087158203126,10.0,"(18, 18)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18), 'ica__n_components': 4}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,195,0.627831715210356,0.6310679611650486,0.6310679611650486,0.6290322580645161,0.6270096463022508,0.629201908381444,0.0016538760269376675
67,0.01898927688598633,0.008114574452407413,9.999275207519531e-05,0.00019998550415039061,10.0,"(18, 18)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18), 'ica__n_components': 5}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,746,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
68,0.02103114128112793,0.015892376804484805,0.000102996826171875,0.00020599365234375,10.0,"(18, 18)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18), 'ica__n_components': 6}",0.8461538461538461,0.782051282051282,0.717948717948718,0.8311688311688312,0.7894736842105263,0.7932816537467701,0.04495673497496087,53,0.8964401294498382,0.7119741100323624,0.7184466019417476,0.8516129032258064,0.8585209003215434,0.8073989289942596,0.07683108669057591
69,0.023511743545532225,0.011502117130203287,0.00010128021240234375,0.0002025604248046875,10.0,"(18, 18)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18), 'ica__n_components': 7}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,195,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
70,0.024562501907348634,0.00922895083926992,0.00010008811950683594,0.00020017623901367188,10.0,"(18, 18)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18), 'ica__n_components': 8}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,746,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
71,0.03401803970336914,0.012526649603036873,0.0,0.0,10.0,"(18, 18)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18), 'ica__n_components': 9}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,746,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
72,0.016356229782104492,0.004166069714770684,0.00010099411010742188,0.00020198822021484376,10.0,"(18, 18, 18)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18, 18), 'ica__n_components': 1}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,195,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
73,0.021037960052490236,0.00852421834797196,0.00010008811950683594,0.00020017623901367188,10.0,"(18, 18, 18)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18, 18), 'ica__n_components': 2}",0.6282051282051282,0.6282051282051282,0.6538461538461539,0.6363636363636364,0.631578947368421,0.6356589147286822,0.0096141372142615,182,0.627831715210356,0.627831715210356,0.6407766990291263,0.6451612903225806,0.6270096463022508,0.6337222132149339,0.007682092725533198
74,0.029818964004516602,0.009310055743492385,9.9945068359375e-05,0.00019989013671875,10.0,"(18, 18, 18)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18, 18), 'ica__n_components': 3}",0.6153846153846154,0.6410256410256411,0.8717948717948718,0.6363636363636364,0.9210526315789473,0.7364341085271318,0.1310223794315456,89,0.6407766990291263,0.6407766990291263,0.8155339805825242,0.6387096774193548,0.9517684887459807,0.7375131089612225,0.12686260936367996
